date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-04-24,Chelsea,West Ham,2.35,0.389,1,0
2022-04-24,Burnley,Wolverhampton Wanderers,1.273,0.593,1,0
2022-04-24,Brighton,Southampton,1.873,0.927,2,2
2022-04-24,Liverpool,Everton,1.704,0.425,2,0
2022-04-25,Crystal Palace,Leeds,1.617,0.374,0,0
2022-04-28,Manchester United,Chelsea,0.618,2.469,1,1
2022-04-30,Newcastle United,Liverpool,0.115,2.734,0,1
2022-04-30,Wolverhampton Wanderers,Brighton,0.526,2.907,0,3
2022-04-30,Watford,Burnley,0.786,1.37,1,2
2022-04-30,Southampton,Crystal Palace,0.65,0.756,1,2
2022-04-30,Aston Villa,Norwich,2.312,0.352,2,0
2022-04-30,Leeds,Manchester City,1.036,3.014,0,4
2022-05-01,Tottenham,Leicester,1.653,0.274,3,1
2022-05-01,Everton,Chelsea,1.117,1.211,1,0
2022-05-01,West Ham,Arsenal,0.452,0.965,1,2
2022-05-02,Manchester United,Brentford,1.841,0.681,3,0
2022-05-07,Crystal Palace,Watford,2.491,0.255,1,0
2022-05-07,Chelsea,Wolverhampton Wanderers,1.821,1.684,2,2
2022-05-07,Burnley,Aston Villa,1.31,1.813,1,3
2022-05-07,Brentford,Southampton,3.682,0.989,3,0
2022-05-07,Brighton,Manchester United,2.826,0.931,4,0
2022-05-07,Liverpool,Tottenham,1.048,0.983,1,1
2022-05-08,Norwich,West Ham,0.779,3.259,0,4
2022-05-08,Leicester,Everton,1.475,1.556,1,2
2022-05-08,Arsenal,Leeds,2.723,0.697,2,1
2022-05-08,Manchester City,Newcastle United,4.056,0.995,5,0
2022-05-10,Aston Villa,Liverpool,1.447,1.754,1,2
2022-05-11,Leeds,Chelsea,0.5,1.469,0,3
2022-05-11,Leicester,Norwich,2.571,1.22,3,0
2022-05-11,Watford,Everton,0.232,0.812,0,0
2022-05-11,Wolverhampton Wanderers,Manchester City,0.412,3.393,1,5
2022-05-12,Tottenham,Arsenal,3.425,0.387,3,0
2022-05-15,Tottenham,Burnley,2.394,0.63,1,0
2022-05-15,Wolverhampton Wanderers,Norwich,0.999,1.532,1,1
2022-05-15,West Ham,Manchester City,1.009,2.147,2,2
2022-05-15,Watford,Leicester,2.59,2.273,1,5
2022-05-15,Leeds,Brighton,2.223,2.259,1,1
2022-05-15,Aston Villa,Crystal Palace,0.799,1.39,1,1
2022-05-15,Everton,Brentford,2.696,1.816,2,3
2022-05-16,Newcastle United,Arsenal,1.683,0.492,2,0
2022-05-17,Southampton,Liverpool,0.122,1.192,1,2
2022-05-19,Everton,Crystal Palace,0.813,1.602,3,2
2022-05-19,Aston Villa,Burnley,0.996,1.631,1,1
2022-05-19,Chelsea,Leicester,1.62,0.042,1,1
2022-05-22,Arsenal,Everton,4.356,1.086,5,1
2022-05-22,Brentford,Leeds,0.845,1.478,1,2
2022-05-22,Brighton,West Ham,1.678,0.269,3,1
2022-05-22,Burnley,Newcastle United,1.492,1.743,1,2
2022-05-22,Chelsea,Watford,2.592,0.576,2,1
2022-05-22,Crystal Palace,Manchester United,0.355,0.782,1,0
2022-05-22,Leicester,Southampton,3.421,1.051,4,1
2022-05-22,Liverpool,Wolverhampton Wanderers,3.194,1.117,3,1
2022-05-22,Manchester City,Aston Villa,3.321,0.248,3,2
2022-05-22,Norwich,Tottenham,0.311,3.815,0,5
